MFile 1 28 96
MTrk
0 TimeSig 4/4 24 8
0 KeySig 0 major
0 Tempo 3000000
384 Tempo 1000000
768 Tempo 428571
960 Tempo 869565
1536 Tempo 428571
1680 Tempo 1500000
1752 Tempo 428571
1944 Tempo 1000000
2016 Tempo 750000
2211 Tempo 869565
9600 Meta Marker "1"
16512 Meta Marker "2"
18432 Meta Marker "3"
21120 Tempo 895522
21216 Tempo 937500
21312 Tempo 967742
21408 Tempo 1000000
21504 Tempo 869565
23664 Tempo 937500
23712 Tempo 1000000
23760 Tempo 1090909
23808 Tempo 1200000
24000 Tempo 1000000
24576 Tempo 428571
24576 Meta Marker "4"
24720 Tempo 1500000
24792 Tempo 428571
24984 Tempo 1000000
25056 Tempo 750000
25728 Tempo 600000
28416 Meta Marker "5"
33408 Tempo 674157
33498 Tempo 750000
33696 Tempo 869565
34083 Tempo 1000000
34134 Tempo 1200000
34176 Tempo 800000
36480 Tempo 869565
36669 Tempo 937500
36864 Tempo 1000000
37056 Tempo 1090909
37248 Tempo 1000000
37248 Meta Marker "6"
44928 Meta Marker "7"
49536 Meta Marker "8"
54912 Meta Marker "9"
58080 Tempo 937500
62976 Tempo 869565
62976 Meta Marker "10"
63168 Tempo 800000
63360 Tempo 750000
63552 Tempo 705882
63744 Tempo 674157
63936 Tempo 638298
64128 Tempo 600000
68736 Meta Marker "11"
75264 Tempo 550459
75264 Meta Marker "12"
79104 Tempo 576923
79872 Tempo 600000
79872 Meta Marker "13"
86784 Meta Marker "14"
93696 Tempo 428571
93696 Meta Marker "15"
93888 Tempo 375000
94080 Tempo 674157
94464 Tempo 428571
94608 Tempo 750000
94656 Tempo 428571
94848 Tempo 674157
95064 Tempo 428571
95256 Tempo 1000000
95328 Tempo 750000
95802 Tempo 869565
96576 Tempo 1000000
97056 Tempo 1200000
97152 Tempo 1500000
97341 Tempo 2000000
97440 Tempo 3000000
97536 Tempo 1200000
97536 Meta Marker "16"
99072 Tempo 1000000
100608 Tempo 937500
103680 Tempo 869565
104448 Tempo 800000
105216 Tempo 750000
105600 Tempo 705882
105984 Tempo 674157
106368 Tempo 638298
106752 Tempo 600000
106752 Meta Marker "17"
111360 Tempo 674157
111453 Tempo 750000
